Group,MentalEffort
Control,24
Control,60
Control,45
Control,64
Control,50
Control,101
Control,34
Control,67
Control,63
Control,23
Control,80
Control,59
Control,62
Control,74
Control,56
Control,76
Control,77
Control,49
Control,46
Control,21
Control,31
Experimental,47
Experimental,42
Experimental,21
Experimental,60
Experimental,28
Experimental,22
Experimental,9
Experimental,70
Experimental,38
Experimental,26
Experimental,43
Experimental,11
Experimental,40
Experimental,23
Experimental,107
Experimental,8
Experimental,41
Experimental,25
Experimental,14
Experimental,35
Experimental,28
