Group,Correctness
Control,0.909091
Control,1
Control,1
Control,1
Control,1
Control,1
Control,0.909091
Control,0.909091
Control,0.909091
Control,1
Control,0.909091
Control,1
Control,0.909091
Control,0.909091
Control,1
Control,1
Control,0.818182
Control,0.909091
Control,0.909091
Control,0.909091
Control,0.818182
Experimental,0.909091
Experimental,1
Experimental,1
Experimental,0.909091
Experimental,1
Experimental,0.727273
Experimental,0.909091
Experimental,0.909091
Experimental,1
Experimental,1
Experimental,0.727273
Experimental,0.818182
Experimental,1
Experimental,1
Experimental,0.363636
Experimental,0.727273
Experimental,1
Experimental,1
Experimental,0.909091
Experimental,0.909091
Experimental,1
