Group,Efficiency
Control,657
Control,1134
Control,721
Control,1103
Control,545
Control,621
Control,706
Control,765
Control,1066
Control,742
Control,858
Control,714
Control,898
Control,607
Control,630
Control,937
Control,637
Control,593
Control,885
Control,753
Control,585
Experimental,498
Experimental,548
Experimental,348
Experimental,672
Experimental,613
Experimental,801
Experimental,560
Experimental,415
Experimental,403
Experimental,713
Experimental,470
Experimental,533
Experimental,504
Experimental,663
Experimental,519
Experimental,469
Experimental,728
Experimental,408
