Group,Efficiency
Control,448.356
Control,725.588
Control,408.774
Control,857.603
Control,346.933
Control,454.108
Control,546.884
Control,556.459
Control,738.025
Control,725.575
Control,464.224
Control,387.572
Control,752.744
Control,423.7
Control,592.752
Control,614.981
Control,571.505
Control,376.085
Control,634.537
Control,401.646
Control,362.067
Experimental,623.349
Experimental,470.844
Experimental,282.579
Experimental,495.228
Experimental,427.971
Experimental,508.69
Experimental,450.541
Experimental,387.818
Experimental,358.95
Experimental,454.18
Experimental,409.595
Experimental,370.632
Experimental,419.364
Experimental,387.147
Experimental,347.924
Experimental,429.526
Experimental,412.909
Experimental,336.391
